comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,label
1.816822,1.8865507,1.8071053,0.85841423,1.4285247,2.2953572,0.79154253,1.5059688,0928015_F.jpg
1.9042109,1.9300444,1.9724504,0.7839471,1.3022665,2.4076746,0.8219743,1.4996555,0929029_F.jpg
6.4712515,6.0367804,5.8946705,2.86988,2.1860352,10.727018,2.5321202,5.8629565,1008001_F.jpg
5.1198616,4.6816635,5.019187,2.0439057,1.9022024,7.5715537,1.7370403,4.642845,1008004_F.jpg
4.1148367,3.9979696,3.9956012,1.6168936,1.4593637,5.9314833,1.358331,3.6534681,1008006_F.jpg
4.8533144,3.7853394,4.7552714,1.7111765,1.4398384,6.8944464,1.9553076,3.5914547,1008007_F.jpg
3.3077183,2.5882783,3.3007665,1.0743984,1.2108347,4.2900014,1.2623374,2.4179797,1008011_F.jpg
5.610632,4.8580937,5.135318,2.2939174,1.9108498,7.960548,2.4519496,5.095581,1008012_F.jpg
2.5055494,1.8928599,2.039625,1.0146987,1.6158557,2.666654,0.9466381,1.632822,1008013_F.jpg
4.1140823,3.5184355,3.8478541,1.4675359,1.2301656,6.086138,1.5648607,3.0159988,1008014_F.jpg
4.3627768,3.199121,4.3821926,1.5047394,1.7058078,5.8841624,1.9666841,3.5771766,1008015_F.jpg
4.159235,3.176235,4.0584545,1.3519218,1.5098921,5.56561,1.5889957,3.2294848,1008016_F.jpg
4.9459343,4.0143147,4.3629155,1.7772243,1.4861016,6.7533717,1.5098958,3.8070202,1008017_F.jpg
3.63216,3.7385564,3.5613434,1.8707446,1.6527369,5.6723914,1.5575657,3.43745,1008018_F.jpg
3.564682,3.1020691,3.6913593,1.1460862,0.98137283,5.0409927,1.2546837,2.6729612,1008019_F.jpg
5.1668844,4.148904,4.906961,2.0086925,1.7854376,7.062928,1.7129842,4.186107,1008020_F.jpg
4.2828465,3.1926937,3.6039734,1.5067041,1.8166888,6.0185947,1.6383724,3.2346091,1008021_F.jpg
3.4742675,2.4531562,3.140365,1.1172653,1.3221807,4.0593286,1.3647047,2.474824,1008022_F.jpg
5.7398977,4.3490477,4.7373276,2.1548924,2.0785942,8.490305,2.3510373,4.6047983,1008024_F.jpg
3.6783009,3.0984838,3.4963021,1.4029746,1.7921088,5.01169,1.5063565,3.3066406,1008025_F.jpg
4.334675,3.7508326,4.068494,1.8396139,1.6201527,6.0293264,1.6681392,3.5076108,1008026_F.jpg
4.3134556,4.1333284,3.7008998,2.0637705,2.2740035,5.6069126,1.6659467,4.053018,1008027_F.jpg
3.9940612,3.4823685,3.5610564,1.5833533,1.3752458,5.2242236,1.4360898,3.1074429,1008028_F.jpg
3.8939972,3.73414,3.8406339,1.7757814,1.7582172,6.168642,1.5180846,3.5817318,1008029_F.jpg
4.5969124,3.3733363,4.1336837,1.653929,1.4425915,6.007864,1.6817311,3.4686542,1008030_F.jpg
6.0511475,4.049708,3.7740412,2.324165,2.5874338,6.2459545,2.1765206,4.3096027,1008031_F.jpg
2.4789915,2.2640903,2.5424972,0.8690649,1.0419763,3.2411485,0.96033347,1.9030628,1008032_F.jpg
3.512404,2.5787063,2.917686,1.3907671,2.0106144,4.1071453,1.5530117,2.9356823,1008033_F.jpg
5.426181,4.398547,4.5495534,1.9896927,1.9053608,7.8613524,2.033338,3.996087,1008034_F.jpg
5.234213,4.3190775,4.7546473,2.1122355,2.2916093,7.4824047,2.2526517,4.8741264,1008035_F.jpg
6.3063135,4.393772,5.207694,2.2266364,1.8710289,7.180476,2.0573535,5.07628,1008036_F.jpg
4.261719,2.5929143,3.2274675,1.4832381,1.9445212,4.743167,1.6333687,3.0896287,1008037_F.jpg
5.5764885,3.8436537,5.1583757,1.7234397,1.6042885,6.853898,2.1499321,3.9760246,1008038_F.jpg
5.576437,4.8912973,4.4843955,2.1188579,1.9825691,7.2301207,1.6710088,5.0409093,1008039_F.jpg
4.093439,3.7298684,3.6510034,1.6875286,1.5064511,5.921456,1.4855902,3.4670033,1008040_F.jpg
2.5497875,2.2182014,2.557846,0.9411346,1.2884474,3.410657,1.0469832,2.0153947,1008041_F.jpg
3.8548985,3.4719179,3.328917,1.4960332,1.6867698,5.3164506,1.3177228,3.1580136,1008042_F.jpg
5.1301446,4.0717735,4.5935087,1.7115242,1.8365462,7.1257086,2.1286364,4.3812027,1008044_F.jpg
5.3716927,4.189165,4.526263,1.9305937,2.1007621,7.2381935,2.1443775,4.450549,1008045_F.jpg
3.929586,3.2079616,3.829312,1.4843833,1.2356126,5.031027,1.348611,3.3319714,1008046_F.jpg
2.2002082,2.3875139,1.9553554,1.0170054,1.4251962,2.913205,0.8279506,1.9043967,1008047_F.jpg
4.3190045,3.4408355,4.3224506,1.5339833,1.2390194,5.697097,1.654934,3.365372,1008048_F.jpg
3.479128,3.0569081,3.2252665,1.430186,1.4177029,4.2282114,1.2705529,2.810651,1008050_F.jpg
1.8202606,1.9504873,1.7831883,0.9002156,1.4640341,2.3222117,0.7824117,1.5199358,1008052_F.jpg
3.8995886,3.6105292,3.7398725,1.6619129,1.3017514,5.3265424,1.368473,3.330698,1008053_F.jpg
5.594063,4.265499,4.547947,2.34375,2.2937725,7.2106123,2.600315,5.084323,1008055_F.jpg
5.4326572,4.3792152,4.7674685,2.3904734,1.9814801,7.1699095,2.6102545,4.327695,1008056_F.jpg
4.546176,3.0832422,4.153943,1.4861264,1.5477378,5.902091,1.9972115,3.4405317,1008057_F.jpg
5.1195126,3.3496506,4.526529,1.878855,1.8739104,6.328772,2.327164,3.8772998,1008058_F.jpg
5.2742567,3.477312,4.8290973,1.8008037,1.9213153,6.83582,2.579121,4.2233963,1008059_F.jpg
5.226021,3.9512336,4.432449,2.2848344,2.0514245,6.7307954,2.4069664,4.219504,1008060_F.jpg
5.5394273,3.6647139,4.636194,2.2620325,2.1882005,6.598297,2.6883674,4.1972656,1008062_F.jpg
4.8879795,3.607338,4.5367517,1.9428355,1.8681452,6.5264983,2.3806112,3.7530181,1008064_F.jpg
5.120801,3.5163143,4.583542,1.8302393,1.8536248,6.3962517,2.3096914,4.137638,1008065_F.jpg
5.3369546,3.9413872,5.25677,1.9508471,1.7522126,8.002672,2.4414902,4.40955,1008067_F.jpg
3.9000378,3.0653555,4.0535803,1.5069385,1.4010954,5.6917953,1.824413,2.8255954,1008068_F.jpg
4.5846486,3.570899,4.7128854,1.6742538,1.5795841,7.0366745,2.1472828,3.732305,1008069_F.jpg
4.6008043,3.663753,4.590335,1.8516271,1.4345387,6.8402643,2.110998,3.503619,1008070_F.jpg
5.1931047,3.692373,5.002177,1.760886,1.7917638,7.1432548,2.396463,4.1110773,1008071_F.jpg
5.2604837,4.3752403,5.1544485,2.2827883,1.6679989,7.445658,2.5195642,4.0953846,1008072_F.jpg
5.1725826,3.867948,5.0362654,1.8989947,1.9077888,7.786479,2.3634124,4.537074,1008073_F.jpg
5.305817,3.5942497,4.9717507,1.9462104,1.9163737,7.252611,2.5125322,4.106321,1008074_F.jpg
5.665613,4.2198143,3.9211879,2.186006,2.2233024,6.7637906,2.2364035,4.2915907,1008076_F.jpg
5.0507717,3.9183044,4.2124434,2.4253652,2.2410095,6.1214523,2.561781,4.0275946,1008077_F.jpg
5.513582,4.132537,4.2201123,2.448525,2.345313,6.3104753,2.5465136,4.4575033,1008079_F.jpg
5.097988,3.6828532,3.8072948,1.778902,1.9277749,6.4537425,2.021909,4.0029593,1008082_F.jpg
5.557787,4.3966565,4.3855386,2.6536782,2.4159007,6.9467015,2.5222025,4.7071686,1008085_F.jpg
5.166522,3.7614574,4.5578423,1.8909831,1.7402431,6.820052,2.2310655,3.9765348,1008086_F.jpg
4.7021203,3.424612,4.276193,1.9419819,2.041752,6.0567727,2.4022775,3.747612,1008087_F.jpg
4.635507,3.4231582,4.2264066,1.6057258,1.8190527,6.3743267,2.0919409,3.7584403,1008088_F.jpg
