wearing,hat,main_top,inner_top,bottom,shoes
1008_1008_720_A_A001_A001_000.jpg,1008013,1008011,,1008012,
1030_1030_720_A_A002_232_223_222_A002_000.jpg,1029449,1029157,,1029107,
1030_1030_720_A_A003_232_220_222_A003_000.jpg,1029442,1029411,,1029109,
1030_1030_720_B_B002_232_221_223_B002_000.jpg,1029434,1029073,,1029141,
1030_1030_720_B_B003_232_227_223_B003_000.jpg,1029431,1029255,,1029142,
1030_1030_720_B_B006_220_232_B006_000.jpg,1029429,1029374,,,
1030_1030_720_B_B007_220_232_B007_000.jpg,1029445,1029373,,,
1030_1030_720_B_B008_232_222_B008_000.jpg,1029439,1029116,,1029113,
1030_1030_720_C_C002_232_220_C002_000.jpg,1029454,1029071,,,
1030_1030_720_C_C004_232_223_224_C004_000.jpg,1029432,1029146,,1029184,
1030_1030_720_C_C006_232_225_224_C006_000.jpg,1029432,1029202,,1029184,
1030_1030_720_C_C007_232_224_C007_000.jpg,1029436,1029183,,,
1030_1030_720_C_C009_232_226_227_C009_000.jpg,1029455,1029245,,1029288,
1030_1030_720_C_C011_232_222_227_C011_000.jpg,1029455,1029096,,1029288,
1030_1030_720_C_C013_232_227_227_C013_000.jpg,1029458,1029299,,1029264,
1030_1030_720_C_C014_232_208_C014_000.jpg,1029441,1029306,,,
1030_1030_720_C_C016_232_220_C016_000.jpg,1029435,1029365,,,
1030_1030_720_C_C018_220_232_C018_000.jpg,1029433,1029356,,,
1030_1030_720_C_C020_224_232_C020_000.jpg,1029451,1029180,,,
1030_1030_720_C_C022_224_232_C022_000.jpg,1029440,1029181,,,
1030_1030_720_C_C023_232_224_227_C023_000.jpg,1029443,1029179,,1029263,
1030_1030_720_C_C025_232_227_227_C025_000.jpg,1029448,1029298,,1029263,
1030_1030_720_C_C026_232_220_229_C026_000.jpg,1029456,1029413,,1029322,
1030_1030_720_D_D004_232_222_220_D004_000.jpg,1029457,1029132,,1029418,
1030_1030_720_D_D005_229_232_D005_000.jpg,1029450,1029317,,,
1030_1030_720_D_D010_229_232_D010_000.jpg,1029444,1029315,,,
1030_1030_720_D_D012_220_232_D012_000.jpg,1029437,1029061,,,
1030_1030_720_D_D026_232_226_227_D026_000.jpg,1029453,1029247,,1029289,
1030_1030_720_D_D028_232_222_227_D028_000.jpg,1029453,1029101,,1029289,
1211_1211_720_A_A102_656_668_A102_000.jpg,1211623,1211263,,,
1211_1211_720_B_B087_656_668_B087_000.jpg,1211600,1211274,,,
1211_1211_720_B_B089_656_668_B089_000.jpg,1211534,1211264,,,
1027_1027_720_A_A003_171_181_A003_000.jpg,,1026073,,,1026305
1027_1027_720_A_A004_171_012_180_A004_000.jpg,,1026057,,1026009,1026294
1027_1027_720_A_A005_169_012_178_A005_000.jpg,,1026048,,1026009,1026271
1027_1027_720_A_A010_177_012_180_A010_000.jpg,,1026231,,1026014,1026293
1027_1027_720_A_A012_177_012_178_A012_000.jpg,,1026236,,1026011,1026261
1027_1027_720_A_A015_012_180_A015_000.jpg,,1026015,,1026012,1026289
1027_1027_720_B_B002_173_178_B002_000.jpg,,1026122,,,1026279
1027_1027_720_B_B004_177_173_181_B004_000.jpg,,1026245,,1026095,1026303
1027_1027_720_B_B005_012_085_178_B005_000.jpg,,1026027,,1026083,1026275
1027_1027_720_B_B006_012_085_178_B006_000.jpg,,1026026,,1026083,1026275
1027_1027_720_B_B007_171_085_178_B007_000.jpg,,1026065,,1026083,1026275
1027_1027_720_B_B009_177_085_178_B009_000.jpg,,1026232,,1026083,1026275
1027_1027_720_B_B013_174_012_178_B013_000.jpg,,1026155,,1026005,1026270
1027_1027_720_B_B014_169_012_178_B014_000.jpg,,1026047,,1026005,1026270
1027_1027_720_B_B015_173_181_B015_000.jpg,,1026111,,,1026301
1027_1027_720_B_B018_177_181_B018_000.jpg,,1026106,,,1026302
1027_1027_720_B_B019_173_181_B019_000.jpg,,1026117,,,1026302
1027_1027_720_B_B020_177_173_181_B020_000.jpg,,1026206,1026117,,1026302
1027_1027_720_B_B022_174_012_178_B022_000.jpg,,1026137,,1026032,1026278
1027_1027_720_B_B023_177_174_012_178_B023_000.jpg,,1026226,1026137,1026032,1026278
1027_1027_720_B_B024_177_012_178_B024_000.jpg,,1026234,,1026032,1026278
1027_1027_720_B_B025_177_012_178_B025_000.jpg,,1026241,,1026032,1026278
1027_1027_720_B_B026_177_012_178_B026_000.jpg,,1026217,,1026032,1026278
1027_1027_720_B_B027_173_178_B027_000.jpg,,1026109,,,1026262
1027_1027_720_C_C001_171_012_179_C001_000.jpg,,1026058,,1026006,1026281
1027_1027_720_C_C002_171_012_181_C002_000.jpg,,1026060,,1026006,1026300
1027_1027_720_C_C003_171_012_178_C003_000.jpg,,1026059,,1026006,1026264
1027_1027_720_C_C004_012_012_179_C004_000.jpg,,1026021,,1026006,1026280
1027_1027_720_C_C005_012_012_181_C005_000.jpg,,1026025,,1026034,1026308
1027_1027_720_C_C006_012_012_178_C006_000.jpg,,1026016,,1026034,1026258
1027_1027_720_C_C011_177_176_180_C011_000.jpg,,1026203,,1026173,1026287
1027_1027_720_C_C012_177_176_179_C012_000.jpg,,1026202,,1026174,1026286
1027_1027_720_C_C015_171_181_C015_000.jpg,,1026071,,,1026304
1027_1027_720_C_C021_179_177_012_C021_000.jpg,,1026245,,1026006,1026278
1027_1027_720_D_D002_174_173_180_D002_000.jpg,,1026135,,1026096,1026291
1027_1027_720_D_D006_177_012_180_D006_000.jpg,,1026233,,1026031,1026294
1027_1027_720_D_D007_175_012_175_D007_000.jpg,,1026161,,1026029,1026263
1027_1027_720_D_D008_175_012_178_D008_000.jpg,,1026159,,1026029,1026277
1027_1027_720_D_D009_177_170_179_D009_000.jpg,,1026243,,1026054,1026283
1027_1027_720_D_D010_177_170_180_D010_000.jpg,,1026205,,1026054,1026297
1027_1027_720_D_D011_177_170_178_D011_000.jpg,,1026216,,1026055,1026269
1027_1027_720_D_D013_174_170_178_D013_000.jpg,,1026153,,1026055,1026274
1027_1027_720_D_D014_174_170_178_D014_000.jpg,,1026140,,1026056,1026267
1027_1027_720_D_D015_177_170_179_D015_000.jpg,,1026201,,1026056,1026282
1027_1027_720_D_D016_177_170_178_D016_000.jpg,,1026239,,1026056,1026271
1027_1027_720_D_D017_177_012_180_D017_000.jpg,,1026257,,1026033,1026288
1027_1027_720_D_D018_177_012_180_D018_000.jpg,,1026256,,1026033,1026290
1027_1027_720_D_D019_012_012_178_D019_000.jpg,,1026027,,1026033,1026260
1027_1027_720_D_D020_174_012_108_D020_000.jpg,,1026139,,1026033,1026292
1027_1027_720_D_D024_177_012_181_D024_000.jpg,,1026255,,1026003,1026298
1110_1110_720_A_A002_338_339_A002_000.jpg,,1109089,,1109101,1109019
1110_1110_720_A_A003_338_339_A003_000.jpg,,1109090,,1109102,1109013
1110_1110_720_A_A005_338_339_A005_000.jpg,,1109086,,1109101,1109019
1110_1110_720_A_A007_338_339_A007_000.jpg,,1109088,,1109100,1109019
